"gene","n_cpgs","n_significant","mean_delta_beta","min_adj_P"
"ESR1",46,8,-0.0557362601811429,5.32942587005064e-12
"ERBB2",14,0,-0.0232253485428049,7.47924862503313e-09
"MLPH",3,0,-0.0340699398040464,3.14490909315598e-08
"GRB7",10,0,-0.0381126693276218,6.88524108667888e-07
"BIRC5",4,0,-0.00532804019049242,1.1545340229363e-06
"EXO1",6,0,-0.00835501479955067,1.31566689667918e-06
"RRM2",1,0,-0.0499244370644556,2.16730679358483e-06
"FOXA1",13,0,-0.00571397801460001,3.36114852826029e-06
"GPR160",5,1,-0.0367303531501888,1.36659873475947e-05
"UBE2C",8,0,-0.00632744497734232,1.57835508596937e-05
"BCL2",13,0,-0.00436455560060136,3.26612321100081e-05
"CDC6",8,0,-0.00753823996896349,3.35369811194159e-05
"SLC39A6",4,0,-0.0085733555175409,3.35369811194159e-05
"MDM2",6,0,-0.00294893445626357,0.000143478783003232
"MYC",2,0,-0.00179095010455158,0.000159764484657443
"BLVRA",3,0,-0.0234638070581635,0.000187860172185773
"EGFR",5,0,0.0553984965172066,0.00030087421514775
"SFRP1",11,0,0.0609224171212514,0.000349519494473121
"CXXC5",3,0,-0.0181643594660169,0.000386255260291335
"PHGDH",4,0,0.0318086612150244,0.000424833899066832
"NAT1",9,0,-0.00400442672158462,0.00048821424445711
"MIA",2,0,0.0268517142175373,0.000756064906392096
"MAPT",7,0,-0.00289517117914869,0.00719259382553317
"BAG1",2,0,0.00440097831230056,0.00774147470231316
"PGR",12,0,0.00525973778204064,0.00912734500116329
"FOXC1",4,0,0.0583753228625587,0.0110381681089096
"FGFR4",3,0,-0.00626159463768358,0.0154832105616685
"ANLN",1,0,-0.019362049040019,0.0176077430380033
"PTTG1",1,0,-0.0139051513945166,0.0346776346907342
"TMEM45B",1,0,0.0305321726957087,0.0443207667854222
"CCNB1",2,0,-0.0084821476033276,0.0481002293522144
"CDH3",2,0,0.0285707355408303,0.0546199941588243
"TYMS",1,0,-0.00632157545613116,0.0920479152564712
"NDC80",1,0,-0.0039057971898064,0.23736608901722
"CENPF",5,0,0.00149976613054707,0.275878523501116
"ACTR3B",5,0,0.000518017781504269,0.293191556268091
"UBE2T",3,0,0.000521451584886477,0.337058201950601
"NUF2",4,0,-0.00031891879492895,0.406632591923946
"CCNE1",2,0,0.0040726073413121,0.507840302058555
"ORC6",3,0,-0.000113130441622298,0.623378719391023
"MYBL2",4,0,0.00689726635968699,0.738037105592853
"MELK",1,0,-0.000135299621550483,0.941507362055014
"CEP55",1,0,-0.000842521175918709,0.99237306676787
