"gene","n_cpgs","n_LumA","n_LumB","rho_LumA","rho_LumB","rho_difference","fisher_z","P","adj_P","significant"
"GRB7",10,422,141,-0.244931346645886,-0.541161864805856,-0.29623051815997,3.52088677751594,0.000430106223621446,0.0184945676157222,TRUE
"ORC6",3,422,141,-0.273147807722545,-0.0567746906973757,0.21637311702517,-2.21106058887449,0.0270316416432904,0.318179000930138,FALSE
"ACTR3B",5,422,141,-0.217960217868483,-0.407226336743867,-0.189266118875385,2.08579100857024,0.0369975582476904,0.318179000930138,FALSE
"ERBB2",14,422,141,-0.371428461934771,-0.554081938439146,-0.182653476504374,2.31741347239638,0.0204812191499149,0.318179000930138,FALSE
"MLPH",3,422,141,-0.333561194493872,-0.510676826918961,-0.177115632425089,2.14563250392537,0.0319023100662699,0.318179000930138,FALSE
"MYC",2,422,141,-0.109346451238071,-0.298501648186994,-0.189155196948923,1.96031205629071,0.0499593277203498,0.325409565463004,FALSE
"PHGDH",4,422,141,-0.32273355788915,-0.485564450532985,-0.162830892643835,1.9351356630845,0.0529736501916518,0.325409565463004,FALSE
"CDH3",2,422,141,-0.156516905038662,0.028434436405668,0.18495134144433,-1.84321847885771,0.065297117945846,0.350972008958922,FALSE
"NUF2",4,422,141,-0.187890688278827,-0.0189776959630121,0.168912992315815,-1.69392096926446,0.090280301720274,0.388205297397178,FALSE
"CENPF",5,422,141,-0.194088447974084,-0.353512564750203,-0.15942411677612,1.71074777435811,0.0871276842920986,0.388205297397178,FALSE
"BAG1",2,422,141,-0.168739812015341,-0.31846397534141,-0.149724163326069,1.57910330606715,0.114312363504628,0.446857420972638,FALSE
"CXXC5",3,422,141,-0.217908003012494,-0.359420351898626,-0.141512348886132,1.53154053144761,0.125635857176276,0.450195154881657,FALSE
"MYBL2",4,422,141,-0.0721675576325465,-0.216177918575281,-0.144010360942735,1.45819606010677,0.144786509474263,0.459619935320694,FALSE
"CDC6",8,422,141,-0.29648609188649,-0.422929063744167,-0.126442971857677,1.44079113078464,0.149643699871854,0.459619935320694,FALSE
"CCNB1",2,422,141,-0.052612215833221,-0.172104970247014,-0.119492754413793,1.19915777179863,0.230466603698723,0.586180800678217,FALSE
"MIA",2,422,141,-0.223815028756606,-0.10859510114006,0.115219927616546,-1.17411525250719,0.240348864942497,0.586180800678217,FALSE
"BIRC5",4,422,141,-0.241738735543012,-0.126781968406182,0.11495676713683,-1.17914599971082,0.238340044389815,0.586180800678217,FALSE
"FGFR4",3,422,141,-0.321867461929262,-0.422813476604307,-0.100946014675044,1.16164914787782,0.245378009586231,0.586180800678217,FALSE
"MELK",1,422,141,-0.158121992905326,-0.262023203048076,-0.103901210142749,1.0768942976831,0.28152749090341,0.607461925567584,FALSE
"EGFR",5,422,141,-0.226192919841174,-0.32622543773278,-0.100032517891605,1.07298808730844,0.283276461095252,0.607461925567584,FALSE
"NDC80",1,422,141,-0.114185187571491,-0.0160066783680808,0.0981785092034102,-0.976525002463068,0.328804364023437,0.607461925567584,FALSE
"CCNE1",2,422,141,-0.0892841303324322,-0.184010445652639,-0.094726315320207,0.956046946633385,0.339048516595861,0.607461925567584,FALSE
"BCL2",13,422,141,-0.368231220156595,-0.27889036345734,0.0893408566992553,-0.988593862636699,0.322861890206184,0.607461925567584,FALSE
"ESR1",46,422,141,-0.598449873458814,-0.529997003296374,0.0684528701624395,-0.995429666833938,0.31952733577152,0.607461925567584,FALSE
"EXO1",6,422,141,-0.147021465814718,-0.213450918275611,-0.0664294524608929,0.679761224493667,0.496655662444148,0.821392057119168,FALSE
"FOXA1",13,422,141,-0.498106652595801,-0.443614880774006,0.0544917718217952,-0.6933478789491,0.488091262879528,0.821392057119168,FALSE
"FOXC1",4,422,141,-0.180409912168065,-0.23948371077529,-0.0590737986072246,0.61177945542587,0.540683684191515,0.861088830379079,FALSE
"ANLN",1,422,141,-0.107418333849494,-0.162018922042896,-0.0546005881934017,0.550472801807935,0.581995126799982,0.862232666045734,FALSE
"GPR160",5,422,141,-0.377470056097438,-0.4264566120125,-0.0489865559150627,0.578444945424897,0.562963756857677,0.862232666045734,FALSE
"TMEM45B",1,422,141,-0.23361860688369,-0.185949740999187,0.0476688658845038,-0.493570418593718,0.621609596451576,0.862232666045734,FALSE
"BLVRA",3,422,141,-0.258558785345126,-0.305428314568261,-0.0468695292231344,0.504032683919795,0.614238409587794,0.862232666045734,FALSE
"CEP55",1,422,141,-0.141455234423546,-0.180230318078685,-0.0387750836551389,0.393970617144924,0.693602732628711,0.920261754709371,FALSE
"PGR",12,422,141,-0.352713188506568,-0.385602979579605,-0.0328897910730371,0.3769007108352,0.706247393149052,0.920261754709371,FALSE
"MAPT",7,422,141,-0.386800068438187,-0.414919303052357,-0.0281192346141692,0.331593920105582,0.74019591112948,0.936130122899049,FALSE
"PTTG1",1,422,141,-0.178153336189981,-0.206631277023845,-0.0284779408338642,0.292678057911955,0.76976824308284,0.936488513562614,FALSE
"RRM2",1,422,141,-0.10661355441774,-0.0833725758808168,0.0232409785369233,-0.232101316874291,0.816459322087648,0.936488513562614,FALSE
"UBE2T",3,422,141,-0.178632690922942,-0.157130014127317,0.0215026767956252,-0.218974624631887,0.826669814687248,0.936488513562614,FALSE
"UBE2C",8,422,141,-0.208831879421047,-0.229175050301811,-0.0203431708807634,0.211470371401001,0.832520249614765,0.936488513562614,FALSE
"TYMS",1,422,141,-0.0834820538577877,-0.0972986857314097,-0.0138166318736221,0.137860023950802,0.890351044929233,0.936488513562614,FALSE
"NAT1",9,422,141,-0.625685908799169,-0.614885055010917,0.0108008537882527,-0.17373983264981,0.862069931634308,0.936488513562614,FALSE
"SFRP1",11,422,141,-0.243566095824161,-0.232818185710005,0.0107479101141561,-0.112761814841197,0.910219392542214,0.936488513562614,FALSE
"SLC39A6",4,422,141,-0.359500800428194,-0.35004066954921,0.00946013087898367,-0.107099919637598,0.914709710921623,0.936488513562614,FALSE
"MDM2",6,422,141,-0.285659093995603,-0.283167087632176,0.00249200636342695,-0.0268317124918261,0.978593959407332,0.978593959407332,FALSE
